Result_num	GO_Category	GO_ID	GO_Term	Annotated	Significant	Expected	weight01Fisher	Tissue	Comparison	Expression
1	BP	GO:0034197	triglyceride transport	5	3	0	1.80E-09	liver	bd_ctl	down
2	BP	GO:0034377	plasma lipoprotein particle assembly	17	3	0.01	1.20E-07	liver	bd_ctl	down
3	BP	GO:0015914	phospholipid transport	86	4	0.05	1.60E-07	liver	bd_ctl	down
4	BP	GO:0042853	L-alanine catabolic process	5	1	0	0.0032	liver	bd_ctl	down
5	BP	GO:1904426	positive regulation of GTP binding	6	1	0	0.0038	liver	bd_ctl	down
6	BP	GO:0032782	bile acid secretion	6	1	0	0.0038	liver	bd_ctl	down
7	BP	GO:0007042	lysosomal lumen acidification	8	1	0.01	0.0051	liver	bd_ctl	down
8	BP	GO:0046185	aldehyde catabolic process	8	1	0.01	0.0051	liver	bd_ctl	down
9	BP	GO:0035360	positive regulation of peroxisome prolif...	8	1	0.01	0.0051	liver	bd_ctl	down
10	BP	GO:0006544	glycine metabolic process	10	1	0.01	0.0064	liver	bd_ctl	down
11	BP	GO:0006465	signal peptide processing	13	1	0.01	0.0083	liver	bd_ctl	down
12	BP	GO:0043153	entrainment of circadian clock by photop...	14	1	0.01	0.0089	liver	bd_ctl	down
13	BP	GO:0009070	serine family amino acid biosynthetic pr...	15	1	0.01	0.0095	liver	bd_ctl	down
14	BP	GO:0045429	positive regulation of nitric oxide bios...	26	1	0.02	0.0165	liver	bd_ctl	down
15	BP	GO:0006636	unsaturated fatty acid biosynthetic proc...	38	1	0.02	0.024	liver	bd_ctl	down
16	BP	GO:0031648	protein destabilization	39	1	0.02	0.0246	liver	bd_ctl	down
17	BP	GO:0031146	SCF-dependent proteasomal ubiquitin-depe...	49	1	0.03	0.0308	liver	bd_ctl	down
18	BP	GO:0042632	cholesterol homeostasis	51	1	0.03	0.0321	liver	bd_ctl	down
1	CC	GO:0005783	endoplasmic reticulum	1599	5	1.14	0.0028	liver	bd_ctl	down
2	CC	GO:0046581	intercellular canaliculus	11	1	0.01	0.0078	liver	bd_ctl	down
3	CC	GO:0019005	SCF ubiquitin ligase complex	64	1	0.05	0.0446	liver	bd_ctl	down
4	CC	GO:0005882	intermediate filament	64	1	0.05	0.0446	liver	bd_ctl	down
5	CC	GO:0005775	vacuolar lumen	67	1	0.05	0.0466	liver	bd_ctl	down
6	CC	GO:0005902	microvillus	69	1	0.05	0.048	liver	bd_ctl	down
1	MF	GO:0005548	phospholipid transporter activity	103	4	0.07	6.00E-07	liver	bd_ctl	down
2	MF	GO:0008289	lipid binding	683	4	0.5	0.001	liver	bd_ctl	down
3	MF	GO:0046982	protein heterodimerization activity	369	3	0.27	0.002	liver	bd_ctl	down
4	MF	GO:0005537	mannose binding	19	1	0.01	0.014	liver	bd_ctl	down
5	MF	GO:0008483	transaminase activity	23	1	0.02	0.017	liver	bd_ctl	down
6	MF	GO:0030170	pyridoxal phosphate binding	41	1	0.03	0.029	liver	bd_ctl	down
1	BP	GO:0034625	"fatty acid elongation, monounsaturated f..."	6	1	0	0.0017	liver	bd_ctl	up
2	BP	GO:0034626	"fatty acid elongation, polyunsaturated f..."	6	1	0	0.0017	liver	bd_ctl	up
3	BP	GO:0019367	"fatty acid elongation, saturated fatty a..."	6	1	0	0.0017	liver	bd_ctl	up
4	BP	GO:0035338	long-chain fatty-acyl-CoA biosynthetic p...	10	1	0	0.0028	liver	bd_ctl	up
5	BP	GO:0042761	very long-chain fatty acid biosynthetic ...	11	1	0	0.0031	liver	bd_ctl	up
6	BP	GO:0042759	long-chain fatty acid biosynthetic proce...	17	1	0	0.0048	liver	bd_ctl	up
7	BP	GO:0006636	unsaturated fatty acid biosynthetic proc...	38	1	0.01	0.0107	liver	bd_ctl	up
8	BP	GO:0030148	sphingolipid biosynthetic process	67	1	0.02	0.0189	liver	bd_ctl	up
9	BP	GO:0042157	lipoprotein metabolic process	102	1	0.03	0.0286	liver	bd_ctl	up
10	BP	GO:0006629	lipid metabolic process	1198	2	0.34	0.0494	liver	bd_ctl	up
1	CC	GO:0005833	hemoglobin complex	5	4	0	2.60E-13	liver	bd_ctl	up
2	CC	GO:0042627	chylomicron	5	1	0	0.0029	liver	bd_ctl	up
3	CC	GO:0034364	high-density lipoprotein particle	9	1	0.01	0.0052	liver	bd_ctl	up
1	MF	GO:0005344	oxygen carrier activity	7	4	0.01	4.90E-12	liver	bd_ctl	up
2	MF	GO:0019825	oxygen binding	17	4	0.01	3.30E-10	liver	bd_ctl	up
3	MF	GO:0020037	heme binding	136	4	0.1	1.80E-06	liver	bd_ctl	up
4	MF	GO:0009922	fatty acid elongase activity	6	1	0	0.0044	liver	bd_ctl	up
5	MF	GO:0051786	"all-trans-retinol 13,14-reductase activi..."	6	1	0	0.0044	liver	bd_ctl	up
6	MF	GO:0102336	3-oxo-arachidoyl-CoA synthase activity	6	1	0	0.0044	liver	bd_ctl	up
7	MF	GO:0102337	3-oxo-cerotoyl-CoA synthase activity	6	1	0	0.0044	liver	bd_ctl	up
8	MF	GO:0102338	3-oxo-lignoceronyl-CoA synthase activity	6	1	0	0.0044	liver	bd_ctl	up
9	MF	GO:0102756	very-long-chain 3-ketoacyl-CoA synthase ...	6	1	0	0.0044	liver	bd_ctl	up
10	MF	GO:0017110	nucleoside-diphosphatase activity	11	1	0.01	0.008	liver	bd_ctl	up
1	BP	GO:1904426	positive regulation of GTP binding	6	1	0	0.0013	skin	bd_ctl	down
2	BP	GO:0009115	xanthine catabolic process	7	1	0	0.0015	skin	bd_ctl	down
3	BP	GO:0007042	lysosomal lumen acidification	8	1	0	0.0017	skin	bd_ctl	down
4	BP	GO:0046415	urate metabolic process	12	1	0	0.0025	skin	bd_ctl	down
5	BP	GO:0006465	signal peptide processing	13	1	0	0.0028	skin	bd_ctl	down
6	BP	GO:0043153	entrainment of circadian clock by photop...	14	1	0	0.003	skin	bd_ctl	down
7	BP	GO:0031648	protein destabilization	39	1	0.01	0.0083	skin	bd_ctl	down
8	BP	GO:0031146	SCF-dependent proteasomal ubiquitin-depe...	49	1	0.01	0.0104	skin	bd_ctl	down
9	BP	GO:0007601	visual perception	93	1	0.02	0.0196	skin	bd_ctl	down
10	BP	GO:0042147	"retrograde transport, endosome to Golgi"	104	1	0.02	0.0219	skin	bd_ctl	down
11	BP	GO:0043687	post-translational protein modification	143	1	0.03	0.0301	skin	bd_ctl	down
12	BP	GO:0072522	purine-containing compound biosynthetic ...	202	1	0.04	0.0423	skin	bd_ctl	down
13	BP	GO:0070085	glycosylation	236	1	0.05	0.0493	skin	bd_ctl	down
1	CC	GO:0005829	cytosol	3889	4	1.26	0.016	skin	bd_ctl	down
2	CC	GO:0019005	SCF ubiquitin ligase complex	64	1	0.02	0.021	skin	bd_ctl	down
3	CC	GO:0005775	vacuolar lumen	67	1	0.02	0.021	skin	bd_ctl	down
4	CC	GO:0005777	peroxisome	142	1	0.05	0.045	skin	bd_ctl	down
1	MF	GO:0030151	molybdenum ion binding	5	1	0	0.0018	skin	bd_ctl	down
2	MF	GO:0004854	xanthine dehydrogenase activity	7	1	0	0.0025	skin	bd_ctl	down
3	MF	GO:0043546	molybdopterin cofactor binding	13	1	0	0.0047	skin	bd_ctl	down
4	MF	GO:0005537	mannose binding	19	1	0.01	0.0069	skin	bd_ctl	down
5	MF	GO:0051537	"2 iron, 2 sulfur cluster binding"	33	1	0.01	0.0119	skin	bd_ctl	down
6	MF	GO:0071949	FAD binding	41	1	0.01	0.0148	skin	bd_ctl	down
7	MF	GO:0009055	electron transfer activity	69	1	0.03	0.0248	skin	bd_ctl	down
1	BP	GO:0042742	defense response to bacterium	114	8	0.25	1.90E-09	skin	bd_ctl	up
2	BP	GO:0002474	antigen processing and presentation of p...	14	4	0.03	1.90E-08	skin	bd_ctl	up
3	BP	GO:0071347	cellular response to interleukin-1	75	4	0.16	2.10E-05	skin	bd_ctl	up
4	BP	GO:0006527	arginine catabolic process	6	2	0.01	7.00E-05	skin	bd_ctl	up
5	BP	GO:0009253	peptidoglycan catabolic process	7	2	0.02	9.70E-05	skin	bd_ctl	up
6	BP	GO:0009725	response to hormone	711	6	1.56	0.00012	skin	bd_ctl	up
7	BP	GO:0018119	peptidyl-cysteine S-nitrosylation	8	2	0.02	0.00013	skin	bd_ctl	up
8	BP	GO:0050832	defense response to fungus	10	2	0.02	0.00021	skin	bd_ctl	up
9	BP	GO:0032310	prostaglandin secretion	10	2	0.02	0.00021	skin	bd_ctl	up
10	BP	GO:0007263	nitric oxide mediated signal transductio...	11	2	0.02	0.00025	skin	bd_ctl	up
11	BP	GO:0019835	cytolysis	13	2	0.03	0.00036	skin	bd_ctl	up
12	BP	GO:0072606	interleukin-8 secretion	14	2	0.03	0.00042	skin	bd_ctl	up
13	BP	GO:0032496	response to lipopolysaccharide	195	6	0.43	0.00047	skin	bd_ctl	up
14	BP	GO:0051349	positive regulation of lyase activity	17	2	0.04	0.00062	skin	bd_ctl	up
15	BP	GO:0031281	positive regulation of cyclase activity	18	2	0.04	0.0007	skin	bd_ctl	up
16	BP	GO:1900015	regulation of cytokine production involv...	21	2	0.05	0.00095	skin	bd_ctl	up
17	BP	GO:1900373	positive regulation of purine nucleotide...	23	2	0.05	0.00115	skin	bd_ctl	up
18	BP	GO:0072604	interleukin-6 secretion	24	2	0.05	0.00125	skin	bd_ctl	up
19	BP	GO:0045776	negative regulation of blood pressure	28	2	0.06	0.0017	skin	bd_ctl	up
20	BP	GO:0045824	negative regulation of innate immune res...	29	2	0.06	0.00183	skin	bd_ctl	up
21	BP	GO:0032480	negative regulation of type I interferon...	32	2	0.07	0.00222	skin	bd_ctl	up
22	BP	GO:0030574	collagen catabolic process	37	2	0.08	0.00296	skin	bd_ctl	up
23	BP	GO:0045087	innate immune response	461	8	1.01	0.00349	skin	bd_ctl	up
24	BP	GO:0071356	cellular response to tumor necrosis fact...	140	3	0.31	0.0035	skin	bd_ctl	up
25	BP	GO:0002577	regulation of antigen processing and pre...	10	2	0.02	0.00425	skin	bd_ctl	up
26	BP	GO:0006809	nitric oxide biosynthetic process	47	2	0.1	0.00474	skin	bd_ctl	up
27	BP	GO:0071346	cellular response to interferon-gamma	83	3	0.18	0.00544	skin	bd_ctl	up
28	BP	GO:0002478	antigen processing and presentation of e...	31	2	0.07	0.00637	skin	bd_ctl	up
29	BP	GO:0045329	carnitine biosynthetic process	5	1	0.01	0.01093	skin	bd_ctl	up
30	BP	GO:0039534	negative regulation of MDA-5 signaling p...	5	1	0.01	0.01093	skin	bd_ctl	up
31	BP	GO:0016998	cell wall macromolecule catabolic proces...	5	1	0.01	0.01093	skin	bd_ctl	up
32	BP	GO:0046598	positive regulation of viral entry into ...	5	1	0.01	0.01093	skin	bd_ctl	up
33	BP	GO:1900245	positive regulation of MDA-5 signaling p...	5	1	0.01	0.01093	skin	bd_ctl	up
34	BP	GO:0002759	regulation of antimicrobial humoral resp...	5	1	0.01	0.01093	skin	bd_ctl	up
35	BP	GO:0044130	negative regulation of growth of symbion...	5	1	0.01	0.01093	skin	bd_ctl	up
36	BP	GO:0072573	tolerance induction to lipopolysaccharid...	5	1	0.01	0.01093	skin	bd_ctl	up
37	BP	GO:0002367	cytokine production involved in immune r...	56	2	0.12	0.01273	skin	bd_ctl	up
38	BP	GO:0071222	cellular response to lipopolysaccharide	118	3	0.26	0.01281	skin	bd_ctl	up
39	BP	GO:0001878	response to yeast	6	1	0.01	0.01311	skin	bd_ctl	up
40	BP	GO:2000341	regulation of chemokine (C-X-C motif) li...	6	1	0.01	0.01311	skin	bd_ctl	up
41	BP	GO:0072683	T cell extravasation	6	1	0.01	0.01311	skin	bd_ctl	up
42	BP	GO:0002551	mast cell chemotaxis	6	1	0.01	0.01311	skin	bd_ctl	up
43	BP	GO:0045060	negative thymic T cell selection	6	1	0.01	0.01311	skin	bd_ctl	up
44	BP	GO:0006651	diacylglycerol biosynthetic process	6	1	0.01	0.01311	skin	bd_ctl	up
45	BP	GO:0001660	fever generation	6	1	0.01	0.01311	skin	bd_ctl	up
46	BP	GO:0035666	TRIF-dependent toll-like receptor signal...	6	1	0.01	0.01311	skin	bd_ctl	up
47	BP	GO:0071460	cellular response to cell-matrix adhesio...	6	1	0.01	0.01311	skin	bd_ctl	up
48	BP	GO:1900246	positive regulation of RIG-I signaling p...	6	1	0.01	0.01311	skin	bd_ctl	up
49	BP	GO:0002606	positive regulation of dendritic cell an...	6	1	0.01	0.01311	skin	bd_ctl	up
50	BP	GO:0016032	viral process	437	4	0.96	0.01349	skin	bd_ctl	up
51	BP	GO:0071456	cellular response to hypoxia	84	2	0.18	0.01455	skin	bd_ctl	up
52	BP	GO:0071393	cellular response to progesterone stimul...	7	1	0.02	0.01527	skin	bd_ctl	up
53	BP	GO:0050904	diapedesis	7	1	0.02	0.01527	skin	bd_ctl	up
54	BP	GO:0060907	positive regulation of macrophage cytoki...	7	1	0.02	0.01527	skin	bd_ctl	up
55	BP	GO:1903003	positive regulation of protein deubiquit...	8	1	0.02	0.01744	skin	bd_ctl	up
56	BP	GO:0002830	positive regulation of type 2 immune res...	8	1	0.02	0.01744	skin	bd_ctl	up
57	BP	GO:0045059	positive thymic T cell selection	8	1	0.02	0.01744	skin	bd_ctl	up
58	BP	GO:0034136	negative regulation of toll-like recepto...	8	1	0.02	0.01744	skin	bd_ctl	up
59	BP	GO:0010820	positive regulation of T cell chemotaxis	8	1	0.02	0.01744	skin	bd_ctl	up
60	BP	GO:0071447	cellular response to hydroperoxide	8	1	0.02	0.01744	skin	bd_ctl	up
61	BP	GO:0090201	negative regulation of release of cytoch...	9	1	0.02	0.0196	skin	bd_ctl	up
62	BP	GO:0019541	propionate metabolic process	9	1	0.02	0.0196	skin	bd_ctl	up
63	BP	GO:0045672	positive regulation of osteoclast differ...	9	1	0.02	0.0196	skin	bd_ctl	up
64	BP	GO:0061303	cornea development in camera-type eye	10	1	0.02	0.02175	skin	bd_ctl	up
65	BP	GO:0051549	positive regulation of keratinocyte migr...	10	1	0.02	0.02175	skin	bd_ctl	up
66	BP	GO:0002544	chronic inflammatory response	10	1	0.02	0.02175	skin	bd_ctl	up
67	BP	GO:0034144	negative regulation of toll-like recepto...	10	1	0.02	0.02175	skin	bd_ctl	up
68	BP	GO:0099149	regulation of postsynaptic neurotransmit...	10	1	0.02	0.02175	skin	bd_ctl	up
69	BP	GO:0039536	negative regulation of RIG-I signaling p...	11	1	0.02	0.0239	skin	bd_ctl	up
70	BP	GO:0002922	positive regulation of humoral immune re...	11	1	0.02	0.0239	skin	bd_ctl	up
71	BP	GO:0071361	cellular response to ethanol	11	1	0.02	0.0239	skin	bd_ctl	up
72	BP	GO:0010917	negative regulation of mitochondrial mem...	11	1	0.02	0.0239	skin	bd_ctl	up
73	BP	GO:0045655	regulation of monocyte differentiation	11	1	0.02	0.0239	skin	bd_ctl	up
74	BP	GO:0019731	antibacterial humoral response	11	1	0.02	0.0239	skin	bd_ctl	up
75	BP	GO:0035458	cellular response to interferon-beta	11	1	0.02	0.0239	skin	bd_ctl	up
76	BP	GO:0001666	response to hypoxia	204	4	0.45	0.02533	skin	bd_ctl	up
77	BP	GO:0090280	positive regulation of calcium ion impor...	12	1	0.03	0.02605	skin	bd_ctl	up
78	BP	GO:0061844	antimicrobial humoral immune response me...	12	1	0.03	0.02605	skin	bd_ctl	up
79	BP	GO:0002903	negative regulation of B cell apoptotic ...	12	1	0.03	0.02605	skin	bd_ctl	up
80	BP	GO:0046415	urate metabolic process	12	1	0.03	0.02605	skin	bd_ctl	up
81	BP	GO:0007202	activation of phospholipase C activity	12	1	0.03	0.02605	skin	bd_ctl	up
82	BP	GO:0043518	negative regulation of DNA damage respon...	12	1	0.03	0.02605	skin	bd_ctl	up
83	BP	GO:0008152	metabolic process	9489	22	20.84	0.02769	skin	bd_ctl	up
84	BP	GO:0034612	response to tumor necrosis factor	154	4	0.34	0.0277	skin	bd_ctl	up
85	BP	GO:0002675	positive regulation of acute inflammator...	13	1	0.03	0.02819	skin	bd_ctl	up
86	BP	GO:0032620	interleukin-17 production	13	1	0.03	0.02819	skin	bd_ctl	up
87	BP	GO:0070374	positive regulation of ERK1 and ERK2 cas...	122	2	0.27	0.02926	skin	bd_ctl	up
88	BP	GO:0042832	defense response to protozoan	14	1	0.03	0.03032	skin	bd_ctl	up
89	BP	GO:0031269	pseudopodium assembly	15	1	0.03	0.03245	skin	bd_ctl	up
90	BP	GO:0031640	killing of cells of other organism	15	1	0.03	0.03245	skin	bd_ctl	up
91	BP	GO:0017148	negative regulation of translation	130	2	0.29	0.03288	skin	bd_ctl	up
92	BP	GO:0071295	cellular response to vitamin	16	1	0.04	0.03458	skin	bd_ctl	up
93	BP	GO:1902166	negative regulation of intrinsic apoptot...	16	1	0.04	0.03458	skin	bd_ctl	up
94	BP	GO:0009651	response to salt stress	16	1	0.04	0.03458	skin	bd_ctl	up
95	BP	GO:0032148	activation of protein kinase B activity	16	1	0.04	0.03458	skin	bd_ctl	up
96	BP	GO:0043278	response to morphine	17	1	0.04	0.0367	skin	bd_ctl	up
97	BP	GO:0042634	regulation of hair cycle	17	1	0.04	0.0367	skin	bd_ctl	up
98	BP	GO:0032735	positive regulation of interleukin-12 pr...	17	1	0.04	0.0367	skin	bd_ctl	up
99	BP	GO:0006952	defense response	867	14	1.9	0.03861	skin	bd_ctl	up
100	BP	GO:0032012	regulation of ARF protein signal transdu...	18	1	0.04	0.03882	skin	bd_ctl	up
101	BP	GO:0071402	cellular response to lipoprotein particl...	18	1	0.04	0.03882	skin	bd_ctl	up
102	BP	GO:0002763	positive regulation of myeloid leukocyte...	29	2	0.06	0.04171	skin	bd_ctl	up
103	BP	GO:0043200	response to amino acid	70	2	0.15	0.04183	skin	bd_ctl	up
104	BP	GO:0071312	cellular response to alkaloid	20	1	0.04	0.04304	skin	bd_ctl	up
105	BP	GO:0045581	negative regulation of T cell differenti...	20	1	0.04	0.04304	skin	bd_ctl	up
106	BP	GO:0001516	prostaglandin biosynthetic process	21	1	0.05	0.04515	skin	bd_ctl	up
107	BP	GO:0050829	defense response to Gram-negative bacter...	22	1	0.05	0.04725	skin	bd_ctl	up
108	BP	GO:0030593	neutrophil chemotaxis	53	2	0.12	0.04789	skin	bd_ctl	up
109	BP	GO:0032103	positive regulation of response to exter...	184	4	0.4	0.049	skin	bd_ctl	up
110	BP	GO:0002548	monocyte chemotaxis	23	1	0.05	0.04934	skin	bd_ctl	up
111	BP	GO:0051085	chaperone cofactor-dependent protein ref...	23	1	0.05	0.04934	skin	bd_ctl	up
112	BP	GO:0002833	positive regulation of response to bioti...	30	2	0.07	0.04984	skin	bd_ctl	up
1	CC	GO:0005882	intermediate filament	64	5	0.15	5.10E-06	skin	bd_ctl	up
2	CC	GO:0042612	MHC class I protein complex	5	2	0.01	5.20E-05	skin	bd_ctl	up
3	CC	GO:0012506	vesicle membrane	558	3	1.3	0.003	skin	bd_ctl	up
4	CC	GO:0005576	extracellular region	2151	9	5.01	0.011	skin	bd_ctl	up
5	CC	GO:0042613	MHC class II protein complex	8	1	0.02	0.018	skin	bd_ctl	up
6	CC	GO:0031012	extracellular matrix	442	3	1.03	0.022	skin	bd_ctl	up
7	CC	GO:0071556	integral component of lumenal side of en...	10	1	0.02	0.023	skin	bd_ctl	up
8	CC	GO:0045095	keratin filament	13	1	0.03	0.03	skin	bd_ctl	up
9	CC	GO:0099092	"postsynaptic density, intracellular comp..."	16	1	0.04	0.037	skin	bd_ctl	up
10	CC	GO:0030669	clathrin-coated endocytic vesicle membra...	17	1	0.04	0.039	skin	bd_ctl	up
1	MF	GO:0061783	peptidoglycan muralytic activity	8	3	0.02	7.00E-07	skin	bd_ctl	up
2	MF	GO:0042287	MHC protein binding	8	2	0.02	0.00016	skin	bd_ctl	up
3	MF	GO:0003958	NADPH-hemoprotein reductase activity	10	2	0.02	0.00025	skin	bd_ctl	up
4	MF	GO:0010181	FMN binding	14	2	0.03	0.0005	skin	bd_ctl	up
5	MF	GO:0016709	"oxidoreductase activity, acting on paire..."	46	2	0.11	0.00541	skin	bd_ctl	up
6	MF	GO:0050661	NADP binding	47	2	0.11	0.00565	skin	bd_ctl	up
7	MF	GO:0023026	MHC class II protein complex binding	5	1	0.01	0.01195	skin	bd_ctl	up
8	MF	GO:0042609	CD4 receptor binding	6	1	0.01	0.01432	skin	bd_ctl	up
9	MF	GO:0008009	chemokine activity	7	1	0.02	0.01669	skin	bd_ctl	up
10	MF	GO:0042834	peptidoglycan binding	7	1	0.02	0.01669	skin	bd_ctl	up
11	MF	GO:0004519	endonuclease activity	239	3	0.57	0.01928	skin	bd_ctl	up
12	MF	GO:0050660	flavin adenine dinucleotide binding	94	2	0.23	0.02128	skin	bd_ctl	up
13	MF	GO:0050998	nitric-oxide synthase binding	9	1	0.02	0.0214	skin	bd_ctl	up
14	MF	GO:0004222	metalloendopeptidase activity	96	2	0.23	0.02214	skin	bd_ctl	up
15	MF	GO:0004553	"hydrolase activity, hydrolyzing O-glycos..."	100	2	0.24	0.02389	skin	bd_ctl	up
16	MF	GO:0044183	protein binding involved in protein fold...	13	1	0.03	0.03077	skin	bd_ctl	up
17	MF	GO:0005198	structural molecule activity	782	5	1.88	0.03716	skin	bd_ctl	up
18	MF	GO:0003810	protein-glutamine gamma-glutamyltransfer...	16	1	0.04	0.03774	skin	bd_ctl	up
19	MF	GO:0008201	heparin binding	129	2	0.31	0.03817	skin	bd_ctl	up
20	MF	GO:0004540	ribonuclease activity	132	2	0.32	0.0398	skin	bd_ctl	up
21	MF	GO:0020037	heme binding	136	2	0.33	0.04201	skin	bd_ctl	up
22	MF	GO:0005521	lamin binding	19	1	0.05	0.04466	skin	bd_ctl	up
23	MF	GO:1904680	peptide transmembrane transporter activi...	21	1	0.05	0.04925	skin	bd_ctl	up
1	BP	GO:0031146	SCF-dependent proteasomal ubiquitin-depe...	49	2	0.01	3.50E-05	spleen	bd_ctl	down
2	BP	GO:0018120	peptidyl-arginine ADP-ribosylation	5	1	0	0.0011	spleen	bd_ctl	down
3	BP	GO:0043153	entrainment of circadian clock by photop...	14	1	0	0.003	spleen	bd_ctl	down
4	BP	GO:0006516	glycoprotein catabolic process	24	1	0.01	0.0051	spleen	bd_ctl	down
5	BP	GO:0031648	protein destabilization	39	1	0.01	0.0083	spleen	bd_ctl	down
6	BP	GO:0030433	ubiquitin-dependent ERAD pathway	67	1	0.01	0.0142	spleen	bd_ctl	down
7	BP	GO:0043687	post-translational protein modification	143	1	0.03	0.0301	spleen	bd_ctl	down
8	BP	GO:0031396	regulation of protein ubiquitination	170	1	0.04	0.0357	spleen	bd_ctl	down
1	CC	GO:0019005	SCF ubiquitin ligase complex	64	2	0.02	0.0001	spleen	bd_ctl	down
2	CC	GO:0043197	dendritic spine	156	1	0.04	0.0397	spleen	bd_ctl	down
1	MF	GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltran...	6	1	0	0.0017	spleen	bd_ctl	down
2	MF	GO:0004842	ubiquitin-protein transferase activity	413	2	0.12	0.0052	spleen	bd_ctl	down
3	MF	GO:0003950	NAD+ ADP-ribosyltransferase activity	27	1	0.01	0.0078	spleen	bd_ctl	down
4	MF	GO:0001540	amyloid-beta binding	44	1	0.01	0.0127	spleen	bd_ctl	down
5	MF	GO:0008083	growth factor activity	67	1	0.02	0.0194	spleen	bd_ctl	down
1	BP	GO:0086016	AV node cell action potential	5	1	0	0.0014	spleen	bd_ctl	up
2	BP	GO:0097050	type B pancreatic cell apoptotic process	5	1	0	0.0014	spleen	bd_ctl	up
3	BP	GO:0005513	detection of calcium ion	6	1	0	0.0017	spleen	bd_ctl	up
4	BP	GO:0031000	response to caffeine	7	1	0	0.002	spleen	bd_ctl	up
5	BP	GO:0010460	positive regulation of heart rate	7	1	0	0.002	spleen	bd_ctl	up
6	BP	GO:0071872	cellular response to epinephrine stimulu...	7	1	0	0.002	spleen	bd_ctl	up
7	BP	GO:0003214	cardiac left ventricle morphogenesis	8	1	0	0.0023	spleen	bd_ctl	up
8	BP	GO:0035584	calcium-mediated signaling using intrace...	9	1	0	0.0025	spleen	bd_ctl	up
9	BP	GO:0086014	atrial cardiac muscle cell action potent...	10	1	0	0.0028	spleen	bd_ctl	up
10	BP	GO:0050482	arachidonic acid secretion	10	1	0	0.0028	spleen	bd_ctl	up
11	BP	GO:0086064	cell communication by electrical couplin...	10	1	0	0.0028	spleen	bd_ctl	up
12	BP	GO:0051775	response to redox state	12	1	0	0.0034	spleen	bd_ctl	up
13	BP	GO:0010881	regulation of cardiac muscle contraction...	12	1	0	0.0034	spleen	bd_ctl	up
14	BP	GO:0098911	regulation of ventricular cardiac muscle...	12	1	0	0.0034	spleen	bd_ctl	up
15	BP	GO:0051284	positive regulation of sequestering of c...	12	1	0	0.0034	spleen	bd_ctl	up
16	BP	GO:0016338	calcium-independent cell-cell adhesion v...	14	1	0	0.004	spleen	bd_ctl	up
17	BP	GO:0002026	regulation of the force of heart contrac...	14	1	0	0.004	spleen	bd_ctl	up
18	BP	GO:0014850	response to muscle activity	15	1	0	0.0042	spleen	bd_ctl	up
19	BP	GO:0061436	establishment of skin barrier	16	1	0	0.0045	spleen	bd_ctl	up
20	BP	GO:0070293	renal absorption	18	1	0.01	0.0051	spleen	bd_ctl	up
21	BP	GO:0071312	cellular response to alkaloid	20	1	0.01	0.0057	spleen	bd_ctl	up
22	BP	GO:0032781	positive regulation of ATPase activity	20	1	0.01	0.0057	spleen	bd_ctl	up
23	BP	GO:0055010	ventricular cardiac muscle tissue morpho...	31	1	0.01	0.0088	spleen	bd_ctl	up
