Tissue	Comparison	Expression	Nvir_gene_id	Uniprot_entry	Protein_names	logFC	logCPM	LR	Pvalue	FDR	GO_ID	GO_category	GO_term	Search_term_match
liv	both_bsal	down	comp361867	TNR5_CANLF	tumor_necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor) (CD antigen CD40)	-1.972262772	2.94E+00	27.56634838	1.52E-07	0.000144162	"GO:0050776, GO:0006955"	"BP, BP"	"regulation of immune response, immune response "	tumor_necrosis
liv	both_ctl	down	comp357893	GPNMB_RAT	Transmembrane glycoprotein NMB	-2.292809473	8.18E+00	25.39837481	4.66E-07	0.000241412	"GO:0032720, GO:0042130, GO:0070664, GO:0008201"	"BP, BP, BP, MF"	"negative regulation of tumor_necrosis factor production, negative regulation of t_cell proliferation, negative regulation of leukocyte proliferation, heparin binding "	tumor_necrosis
liv	both_ctl	down	comp359637	GSTP1_RAT	Glutathione S-transferase P (EC 2.5.1.18) (Chain 7) (GST 7-7) (GST class-pi)	-1.025224541	6.884989198	11.92758102	0.000553089	0.03078134	"GO:0009058, GO:1904706, GO:0031100, GO:0032720, GO:0006805, GO:0034284, GO:0051271, GO:0070664, GO:0006631, GO:0071638, GO:0071460, GO:0051384, GO:0032930, GO:0071672, GO:0006979, GO:0005739, GO:0004602, GO:0008144, GO:0043295"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF, MF"	"biosynthetic process, negative regulation of vascular smooth muscle cell proliferation, animal organ regeneration, negative regulation of tumor_necrosis factor production, xenobiotic metabolic process, response to monosaccharide, negative regulation of cellular component movement, negative regulation of leukocyte proliferation, fatty acid metabolic process, negative regulation of monocyte chemotactic protein-1 production, cellular response to cell-matrix adhesion, response to glucocorticoid, positive regulation of superoxide anion generation, negative regulation of smooth muscle cell chemotaxis, response to oxidative stress, mitochondrion, glutathione peroxidase activity, drug binding, glutathione binding "	tumor_necrosis
liv	both_ctl	up	comp365254	ASC_MOUSE	Apoptosis-associated speck-like protein containing a CARD (mASC) (PYD and CARD domain-containing protein)	1.597974776	5.423391998	12.77848344	0.000350629	0.022442811	"GO:2000484, GO:0051258, GO:2000778, GO:0050718, GO:0032760, GO:2001238, GO:0002579, GO:0071347, GO:0042771, GO:0050766, GO:0002821, GO:0090197, GO:2001179, GO:0005576, GO:0072559"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC"	"positive regulation of interleukin-8 secretion, protein polymerization, positive regulation of interleukin-6 secretion, positive regulation of interleukin-1 beta secretion, positive regulation of tumor_necrosis factor production, positive regulation of extrinsic apoptotic signaling pathway, positive regulation of antigen processing and presentation, cellular response to interleukin-1, intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, positive regulation of phagocytosis, positive regulation of adaptive immune response, positive regulation of chemokine secretion, regulation of interleukin-10 secretion, extracellular region, NLRP3 inflammasome complex "	tumor_necrosis
liv	both_ctl	up	comp359896	CY24A_BOVIN	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	0.963174956	6.947534328	11.67480245	0.000633523	0.032970271	"GO:0032760, GO:0042554, GO:0045730, GO:0034137, GO:1900424, GO:0050766, GO:0043020, GO:0005886, GO:0020037, GO:0016175"	"BP, BP, BP, BP, BP, BP, CC, CC, MF, MF"	"positive regulation of tumor_necrosis factor production, superoxide anion generation, respiratory burst, positive regulation of toll-like receptor 2 signaling pathway, regulation of defense response to bacterium, positive regulation of phagocytosis, NADPH oxidase complex, plasma membrane, heme binding, superoxide-generating NADPH oxidase activity "	tumor_necrosis
liv	both_ctl	up	comp341894	CCL19_MOUSE	C-C motif chemokine 19 (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Small-inducible cytokine A19)	2.289022391	1.162789949	10.66937233	0.001089241	0.045193959	"GO:0050718, GO:0031295, GO:0032760, GO:1990869, GO:0010560, GO:0002579, GO:0090023, GO:0032502, GO:0001768, GO:0071347, GO:2000669, GO:0002821, GO:0002606, GO:0002407, GO:0005576, GO:0005886, GO:0098552"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC"	"positive regulation of interleukin-1 beta secretion, t_cell costimulation, positive regulation of tumor_necrosis factor production, cellular response to chemokine, positive regulation of glycoprotein biosynthetic process, positive regulation of antigen processing and presentation, positive regulation of neutrophil chemotaxis, developmental process, establishment of t_cell polarity, cellular response to interleukin-1, negative regulation of dendritic cell apoptotic process, positive regulation of adaptive immune response, positive regulation of dendritic cell antigen processing and presentation, dendritic cell chemotaxis, extracellular region, plasma membrane, side of membrane "	tumor_necrosis
liv	bsal_ctl	down	comp359637	GSTP1_RAT	Glutathione S-transferase P (EC 2.5.1.18) (Chain 7) (GST 7-7) (GST class-pi)	-2.011742167	6.88E+00	4.34E+01	4.55E-11	3.60E-08	"GO:0043651, GO:0006805, GO:0014912, GO:1904706, GO:0048662, GO:0000302, GO:0032720, GO:0032869, GO:0034284, GO:0006749, GO:0070664, GO:0043124, GO:0006631, GO:0071638, GO:0071460, GO:0032355, GO:0032930, GO:0071672, GO:0032870, GO:0005623, GO:0005739, GO:0008144, GO:0004364, GO:0043295"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF, MF, MF"	"linoleic acid metabolic process, xenobiotic metabolic process, negative regulation of smooth muscle cell migration, negative regulation of vascular smooth muscle cell proliferation, negative regulation of smooth muscle cell proliferation, response to reactive oxygen species, negative regulation of tumor_necrosis factor production, cellular response to insulin stimulus, response to monosaccharide, glutathione metabolic process, negative regulation of leukocyte proliferation, negative regulation of I-kappaB kinase/NF-kappaB signaling, fatty acid metabolic process, negative regulation of monocyte chemotactic protein-1 production, cellular response to cell-matrix adhesion, response to estradiol, positive regulation of superoxide anion generation, negative regulation of smooth muscle cell chemotaxis, cellular response to hormone stimulus, cell, mitochondrion, drug binding, glutathione transferase activity, glutathione binding "	tumor_necrosis
liv	bsal_ctl	down	comp352524	PRGC1_HUMAN	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6)	-2.571574964	2.46E+00	23.40659312	1.31E-06	0.000178924	"GO:0010893, GO:0042448, GO:0007568, GO:0046886, GO:0006694, GO:0009812, GO:0071372, GO:0014912, GO:0048662, GO:0000302, GO:0006094, GO:0051602, GO:0034284, GO:0006475, GO:0044270, GO:0006631, GO:0046390, GO:0002931, GO:0006012, GO:0018393, GO:0030812, GO:1904637, GO:0051198, GO:0006164, GO:0043501, GO:0009750, GO:1901858, GO:0035865, GO:0022904, GO:2001171, GO:0006110, GO:0006700, GO:0010566, GO:0014889, GO:0031000, GO:0042752, GO:0032355, GO:2001170, GO:0032870, GO:0071356, GO:0009156, GO:0005623, GO:0005739"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC"	"positive regulation of steroid biosynthetic process, progesterone metabolic process, aging, positive regulation of hormone biosynthetic process, steroid biosynthetic process, flavonoid metabolic process, cellular response to follicle-stimulating hormone stimulus, negative regulation of smooth muscle cell migration, negative regulation of smooth muscle cell proliferation, response to reactive oxygen species, gluconeogenesis, response to electrical stimulus, response to monosaccharide, internal protein amino acid acetylation, cellular nitrogen compound catabolic process, fatty acid metabolic process, ribose phosphate biosynthetic process, response to ischemia, galactose metabolic process, internal peptidyl-lysine acetylation, negative regulation of nucleotide catabolic process, cellular response to ionomycin, negative regulation of coenzyme metabolic process, purine nucleotide biosynthetic process, skeletal muscle adaptation, response to fructose, regulation of mitochondrial DNA metabolic process, cellular response to potassium ion, respiratory electron transport chain, positive regulation of ATP biosynthetic process, regulation of glycolytic process, C21-steroid hormone biosynthetic process, regulation of ketone biosynthetic process, muscle atrophy, response to caffeine, regulation of circadian rhythm, response to estradiol, negative regulation of ATP biosynthetic process, cellular response to hormone stimulus, cellular response to tumor_necrosis factor, ribonucleoside monophosphate biosynthetic process, cell, mitochondrion "	tumor_necrosis
liv	bsal_ctl	down	comp362523	GPDA_BOVIN	"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8)"	-1.489471964	5.24E+00	19.19060793	1.18E-05	0.001078866	"GO:0006734, GO:0006094, GO:0044270, GO:0046390, GO:0006164, GO:0071320, GO:0006072, GO:0022904, GO:2001171, GO:0006110, GO:0071356, GO:0009156, GO:0005623, GO:0042803"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF"	"NADH metabolic process, gluconeogenesis, cellular nitrogen compound catabolic process, ribose phosphate biosynthetic process, purine nucleotide biosynthetic process, cellular response to cAMP, glycerol-3-phosphate metabolic process, respiratory electron transport chain, positive regulation of ATP biosynthetic process, regulation of glycolytic process, cellular response to tumor_necrosis factor, ribonucleoside monophosphate biosynthetic process, cell, protein homodimerization activity "	tumor_necrosis
liv	bsal_ctl	down	comp357893	GPNMB_RAT	Transmembrane glycoprotein NMB	-1.481857063	8.177349183	11.19165519	0.00082166	0.026684248	"GO:0032720, GO:0070664, GO:0031090, GO:0005623"	"BP, BP, CC, CC"	"negative regulation of tumor_necrosis factor production, negative regulation of leukocyte proliferation, organelle membrane, cell "	tumor_necrosis
liv	bsal_ctl	down	comp176739	DREB_MOUSE	Drebrin (Developmentally-regulated brain protein)	-0.921551695	4.038823958	9.660157167	0.001883075	0.047216364	"GO:0010644, GO:0051220, GO:0031915, GO:0061003, GO:1902683, GO:1903115, GO:0045927, GO:0032780, GO:0071356, GO:0099524, GO:0005623, GO:0005921, GO:0044308, GO:0098871, GO:0005522"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, CC, CC, CC, MF"	"cell communication by electrical coupling, cytoplasmic sequestering of protein, positive regulation of synaptic plasticity, positive regulation of dendritic spine morphogenesis, regulation of receptor localization to synapse, regulation of actin filament-based movement, positive regulation of growth, negative regulation of ATPase activity, cellular response to tumor_necrosis factor, postsynaptic cytosol, cell, gap junction, axonal spine, postsynaptic actin cytoskeleton, profilin binding "	tumor_necrosis
liv	bsal_ctl	up	comp692896	TLR5_MOUSE	Toll-like receptor 5	2.606678888	6.035594463	11.9768142	0.000538666	0.019509462	"GO:0042742, GO:0032757, GO:0045087, GO:1903428, GO:0006955, GO:0002755, GO:0034123, GO:2000379, GO:0050707, GO:0005149"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, MF"	"defense response to bacterium, positive regulation of interleukin-8 production, innate immune response, positive regulation of reactive oxygen species biosynthetic process, immune response, MyD88-dependent toll-like receptor signaling pathway, positive regulation of toll-like receptor signaling pathway, positive regulation of reactive oxygen species metabolic process, regulation of cytokine secretion, interleukin-1 receptor binding "	toll-like
liv	bsal_ctl	up	comp365254	ASC_MOUSE	Apoptosis-associated speck-like protein containing a CARD (mASC) (PYD and CARD domain-containing protein)	3.798539199	5.42E+00	6.21E+01	3.26E-15	9.56E-12	"GO:0042742, GO:0071347, GO:0051607, GO:0051258, GO:0002230, GO:0071356, GO:0032757, GO:0032480, GO:0045087, GO:2000778, GO:0006955, GO:0032760, GO:0043124, GO:0050766, GO:2000484, GO:0042104, GO:0050829, GO:1900016, GO:0097202, GO:0050707, GO:2001238, GO:0019882, GO:0032088, GO:0006915, GO:0032729, GO:0002495, GO:0032611, GO:0002577, GO:0006974, GO:0034097, GO:0002250, GO:0005634, GO:0005737, GO:0033612"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF"	"defense response to bacterium, cellular response to interleukin-1, defense response_to_virus, protein polymerization, positive regulation of defense response_to_virus by host, cellular response to tumor_necrosis factor, positive regulation of interleukin-8 production, negative regulation of type I interferon production, innate immune response, positive regulation of interleukin-6 secretion, immune response, positive regulation of tumor_necrosis factor production, negative regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of phagocytosis, positive regulation of interleukin-8 secretion, positive regulation of activated t_cell proliferation, defense response to Gram-negative bacterium, negative regulation of cytokine production involved in inflammatory response, activation of cysteine-type endopeptidase activity, regulation of cytokine secretion, positive regulation of extrinsic apoptotic signaling pathway, antigen processing and presentation, negative regulation of NF-kappaB transcription factor activity, apoptotic process, positive regulation of interferon-gamma production, antigen processing and presentation of peptide antigen via MHC class II, interleukin-1 beta production, regulation of antigen processing and presentation, cellular response to DNA damage stimulus, response to cytokine, adaptive immune response, nucleus, cytoplasm, receptor serine/threonine kinase binding "	tumor_necrosis
liv	bsal_ctl	up	comp361867	TNR5_CANLF	tumor_necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor) (CD antigen CD40)	2.244153169	2.94E+00	3.38E+01	6.02E-09	2.19E-06	GO:0006955	BP	immune response 	tumor_necrosis
liv	bsal_ctl	up	comp360053	STAT1_PIG	Signal transducer and activator of transcription 1	2.092089461	5.02E+00	24.03204945	9.47E-07	0.000142539	"GO:0051607, GO:0071356, GO:0045087, GO:0006955, GO:0043124, GO:0006915, GO:0060337, GO:0045639, GO:0034097, GO:0005634, GO:0005737, GO:0000979, GO:0003690"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF, MF"	"defense response_to_virus, cellular response to tumor_necrosis factor, innate immune response, immune response, negative regulation of I-kappaB kinase/NF-kappaB signaling, apoptotic process, type I interferon signaling pathway, positive regulation of myeloid cell differentiation, response to cytokine, nucleus, cytoplasm, RNA polymerase II core promoter sequence-specific DNA binding, double-stranded DNA binding "	tumor_necrosis
liv	bsal_ctl	up	comp359896	CY24A_BOVIN	Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox)	1.351870133	6.95E+00	22.66419651	1.93E-06	0.000249702	"GO:0042742, GO:0045087, GO:1903428, GO:0006955, GO:0032760, GO:0034137, GO:0050766, GO:0034123, GO:0002833, GO:0032103, GO:0042554, GO:0045730, GO:2000379, GO:0043902, GO:0051279, GO:0043020, GO:0005737, GO:0046982, GO:0016175"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF, MF"	"defense response to bacterium, innate immune response, positive regulation of reactive oxygen species biosynthetic process, immune response, positive regulation of tumor_necrosis factor production, positive regulation of toll-like receptor 2 signaling pathway, positive regulation of phagocytosis, positive regulation of toll-like receptor signaling pathway, positive regulation of response to biotic stimulus, positive regulation of response to external stimulus, superoxide anion generation, respiratory burst, positive regulation of reactive oxygen species metabolic process, positive regulation of multi-organism process, regulation of release of sequestered calcium ion into cytosol, NADPH oxidase complex, cytoplasm, protein heterodimerization activity, superoxide-generating NADPH oxidase activity "	tumor_necrosis
liv	bsal_ctl	up	comp364297	C209B_MOUSE	CD209 antigen-like protein B (DC-SIGN-related protein 1) (DC-SIGNR1) (OtB7) (CD antigen CD209)	1.594246385	4.98E+00	16.61812381	4.57E-05	0.003192955	"GO:0032760, GO:0050766"	"BP, BP"	"positive regulation of tumor_necrosis factor production, positive regulation of phagocytosis "	tumor_necrosis
liv	bsal_ctl	up	comp816543	HYAL2_SHEEP	Hyaluronidase-2 (Hyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase-2)	1.883823437	1.87E+00	16.01502037	6.28E-05	0.004120133	"GO:0071347, GO:0051607, GO:0071356, GO:0032757, GO:2000778, GO:2000484, GO:0032103, GO:0019048, GO:0050707, GO:0030214, GO:2001238, GO:0006915, GO:0034097, GO:1900182, GO:0005634, GO:0005737, GO:0004415"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF"	"cellular response to interleukin-1, defense response_to_virus, cellular response to tumor_necrosis factor, positive regulation of interleukin-8 production, positive regulation of interleukin-6 secretion, positive regulation of interleukin-8 secretion, positive regulation of response to external stimulus, modulation by virus of host morphology or physiology, regulation of cytokine secretion, hyaluronan catabolic process, positive regulation of extrinsic apoptotic signaling pathway, apoptotic process, response to cytokine, positive regulation of protein localization to nucleus, nucleus, cytoplasm, hyalurononglucosaminidase activity "	tumor_necrosis
