Nvir_gene_id	Ortholog_gene_name	Uniprot_entry	Protein_names	logFC	logCPM	LR	PValue	FDR	GO_ID	GO_category	GO_term	Tissue	Comparison	Expression
comp356351	NA	NA	NA	-11.24656153	4.009625061	39.7384648	2.90E-10	2.56E-06	NA	NA	NA	liver	bd_ctl	down
comp353137	KRT15	K1C15_SHEEP	"Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)"	-9.756686306	2.087360501	15.71079985	7.38E-05	0.031533901	GO:0005882	CC	intermediate filament	liver	bd_ctl	down
comp359453	LRRC51	LRC51_BOVIN	Leucine-rich repeat-containing protein 51	-5.238872259	3.000437603	40.0142461	2.52E-10	2.56E-06	NA	NA	NA	liver	bd_ctl	down
comp355336	FCN1	FCN1_PIG	Ficolin-1 (Ficolin-A) (Ficolin-alpha)	-4.592831226	0.369325405	18.3249607	1.86E-05	0.012142173	NA	NA	NA	liver	bd_ctl	down
comp353712	NA	NA	NA	-3.392188655	0.82892122	25.96183661	3.48E-07	0.001021602	NA	NA	NA	liver	bd_ctl	down
comp364553	NA	NA	NA	-2.932590259	1.028952058	21.94875827	2.80E-06	0.003546774	NA	NA	NA	liver	bd_ctl	down
comp274050	NA	NA	NA	-2.719163528	1.645103864	20.51504092	5.92E-06	0.004959113	NA	NA	NA	liver	bd_ctl	down
comp349856	NA	NA	NA	-2.699547162	1.821459188	26.54148158	2.58E-07	0.00090805	NA	NA	NA	liver	bd_ctl	down
comp549811	MTTP	MTP_HUMAN	Microsomal triglyceride transfer protein large subunit	-2.648023732	4.964032893	24.83427056	6.25E-07	0.001221907	"GO:0034197, GO:0034377, GO:0015914, GO:0042632, GO:0005783, GO:0005548, GO:0008289, GO:0046982"	"BP, BP, BP, BP, CC, MF, MF, MF"	"triglyceride transport, plasma lipoprotein particle assembly, phospholipid transport, cholesterol homeostasis, endoplasmic reticulum, phospholipid transporter activity, lipid binding, protein heterodimerization activity"	liver	bd_ctl	down
comp346586	NA	NA	NA	-2.640609641	5.027587948	27.58667036	1.50E-07	0.000661001	NA	NA	NA	liver	bd_ctl	down
comp345113	NA	NA	NA	-2.501591231	4.294238721	19.44324442	1.04E-05	0.007600672	NA	NA	NA	liver	bd_ctl	down
comp513583	MTTP	MTP_MESAU	Microsomal triglyceride transfer protein large subunit	-2.446537207	3.980985118	23.57398448	1.20E-06	0.001978299	"GO:0034197, GO:0034377, GO:0015914, GO:0005783, GO:0005548, GO:0008289, GO:0046982"	"BP, BP, BP, CC, MF, MF, MF"	"triglyceride transport, plasma lipoprotein particle assembly, phospholipid transport, endoplasmic reticulum, phospholipid transporter activity, lipid binding, protein heterodimerization activity"	liver	bd_ctl	down
comp281701	NA	NA	NA	-2.442669883	4.299867838	20.64501603	5.53E-06	0.004865272	NA	NA	NA	liver	bd_ctl	down
comp322767	MTTP	MTP_MESAU	Microsomal triglyceride transfer protein large subunit	-2.417045271	4.51714885	20.28433152	6.67E-06	0.00529867	"GO:0034197, GO:0034377, GO:0015914, GO:0005783, GO:0005548, GO:0008289, GO:0046982"	"BP, BP, BP, CC, MF, MF, MF"	"triglyceride transport, plasma lipoprotein particle assembly, phospholipid transport, endoplasmic reticulum, phospholipid transporter activity, lipid binding, protein heterodimerization activity"	liver	bd_ctl	down
comp346022	NA	NA	NA	-2.307059587	3.754256166	25.4083177	4.64E-07	0.001021724	NA	NA	NA	liver	bd_ctl	down
comp351265	FBXL3	FBXL3_HUMAN	F-box/LRR-repeat protein 3 (F-box and leucine-rich repeat protein 3A) (F-box/LRR-repeat protein 3A)	-2.231636229	6.016517699	21.00395379	4.58E-06	0.004865272	"GO:0043153, GO:0031648, GO:0031146, GO:0019005"	"BP, BP, BP, CC"	"entrainment of circadian clock by photoperiod, protein destabilization, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, SCF ubiquitin ligase complex"	liver	bd_ctl	down
comp365106	NA	ACOD_CYPCA	Acyl-CoA desaturase (EC 1.14.19.1) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) (Stearoyl-CoA desaturase)	-2.227385443	7.76970471	20.76937389	5.18E-06	0.004865272	"GO:0006636, GO:0005783"	"BP, CC"	"unsaturated fatty acid biosynthetic process, endoplasmic reticulum"	liver	bd_ctl	down
comp356864	Stard10	STA10_MOUSE	START domain-containing protein 10 (StARD10) (PCTP-like protein) (PCTP-L) (Serologically defined colon cancer antigen 28 homolog) (StAR-related lipid transfer protein 10)	-2.139092712	4.412123969	17.05850499	3.62E-05	0.019937387	"GO:0015914, GO:0032782, GO:0035360, GO:0046581, GO:0005902, GO:0005548, GO:0008289"	"BP, BP, BP, CC, CC, MF, MF"	"phospholipid transport, bile acid secretion, positive regulation of peroxisome proliferator activated receptor signaling pathway, intercellular canaliculus, microvillus, phospholipid transporter activity, lipid binding"	liver	bd_ctl	down
comp357450	CLN5	CLN5_BOVIN	"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]"	-1.979503678	2.625712368	15.98374585	6.39E-05	0.030393736	"GO:1904426, GO:0007042, GO:0006465, GO:0005783, GO:0005775, GO:0005537"	"BP, BP, BP, CC, CC, MF"	"positive regulation of GTP binding, lysosomal lumen acidification, signal peptide processing, endoplasmic reticulum, vacuolar lumen, mannose binding"	liver	bd_ctl	down
