gene	GO_ID
comp1000309	GO:0005765, GO:0006811, GO:0015031, GO:0015333, GO:0016021, GO:0035673, GO:0043231, GO:1904680
comp1000627	GO:0005298, GO:0005328, GO:0005886, GO:0005887, GO:0015804, GO:0015820, GO:0015824
comp1001676	GO:0005524, GO:0005635, GO:0005737, GO:0005794, GO:0005886, GO:0005942, GO:0006935, GO:0014065, GO:0016020, GO:0016303, GO:0016477, GO:0035005, GO:0035091, GO:0036092, GO:0046854, GO:0048015
comp100198	GO:0003677, GO:0005730, GO:0005737, GO:0007283, GO:0008625, GO:0042981
comp1002029	GO:0003777, GO:0005524, GO:0005737, GO:0005871, GO:0005874, GO:0008017, GO:0022409, GO:0030010, GO:0072092
comp1002048	GO:0016021
comp1002150	GO:0030687, GO:0070545
comp1002235	GO:0000794, GO:0002020, GO:0002576, GO:0003300, GO:0004674, GO:0004713, GO:0005509, GO:0005516, GO:0005524, GO:0005576, GO:0005829, GO:0005865, GO:0006936, GO:0006941, GO:0007076, GO:0008307, GO:0010628, GO:0010737, GO:0019899, GO:0019901, GO:0030017, GO:0030018, GO:0030049, GO:0030240, GO:0030241, GO:0031430, GO:0031433, GO:0031674, GO:0035995, GO:0042802, GO:0042805, GO:0043621, GO:0045214, GO:0045859, GO:0048739, GO:0048769, GO:0050714, GO:0050790, GO:0051015, GO:0051371, GO:0051592, GO:0055003, GO:0055008, GO:0060048, GO:0070062, GO:0071688, GO:0097493
comp1002259	GO:0000287, GO:0003677, GO:0005524, GO:0005654, GO:0005730, GO:0006259, GO:0006260, GO:0006281, GO:0006310, GO:0008408, GO:0030145, GO:0043140
comp1002873	GO:0005102, GO:0005201, GO:0005576, GO:0005604, GO:0007155, GO:0030155, GO:0030198, GO:0030334, GO:0045995, GO:0062023, GO:0070062, GO:0120163
comp1003370	GO:0003677, GO:0003700, GO:0005634, GO:0046872
